FID,Field1,Field2,Field3
10,319907.341599999985192,100849.563599999994040,3.599861000000000
29,319909.179599999974016,100846.052299999995739,0.649080000000000
92,319914.900699999998324,100842.315499999996973,0.469290000000000
94,319914.757400000002235,100847.475800000000163,0.521127000000000
187,319921.243599999987055,100842.278900000004796,0.508988000000000
189,319921.258800000010524,100846.829599999997299,0.740615000000000
297,319927.644399999990128,100841.672399999995832,0.310826000000000
352,319928.851399999985006,100838.191500000000815,0.530313000000000
464,319934.993200000026263,100847.872000000003027,1.039499000000000
516,319937.647999999986496,100842.163100000005215,0.570012000000000
572,319941.838999999978114,100848.204199999992852,1.069683000000000
679,319947.102899999998044,100843.726699999999255,0.868567000000000
783,319952.385100000014063,100840.642099999997299,0.530313000000000
785,319954.110199999995530,100846.472999999998137,0.859381000000000
834,319957.109500000020489,100842.309399999998277,0.688778000000000
938,319962.385599999979604,100840.694000000003143,0.390222000000000
940,319963.973600000026636,100847.591599999999744,0.688778000000000
1038,319967.594600000011269,100838.429300000003423,0.478476000000000
1088,319971.054100000008475,100842.184399999998277,0.490615000000000
1091,319972.715299999981653,100851.282699999996112,0.618896000000000
1135,319975.400599999993574,100845.537200000006123,0.438778000000000
1184,319977.448800000012852,100848.688899999993737,0.639893000000000
1187,319977.299500000022817,100857.348299999997835,0.411547000000000
