OBJECTID,PointCount,ORIG_FID,POINT_X,POINT_Y,POINT_Z
86,105,20543,319929.400100000202656,100724.519200000911951,-0.109777083329391
87,71,19957,319927.848600000143051,100724.604499999433756,0.000130833344883
88,105,20543,319930.540000000037253,100724.625900000333786,-0.158333416664391
89,102,19975,319925.239500000141561,100724.680700000375509,0.490615416667424
90,71,19957,319928.857499999925494,100724.711200000718236,-0.118963416665792
91,105,20543,319931.728699999861419,100724.735600000247359,-0.329264833329944
92,102,19975,319926.336799999698997,100724.808800000697374,0.570011583346059
93,71,19957,319929.848100000061095,100724.826999999582767,-0.158333416664391
94,102,19975,319927.604799999855459,100724.930700000375509,0.048687166665331
95,71,19957,319930.814299999736249,100724.930700000375509,-0.118963416665792
96,71,19957,319931.804899999871850,100725.046499999240041,-0.109777083329391
97,102,19975,319928.772199999541044,100725.058700000867248,-0.140288833325030
98,102,19975,319929.912100000306964,100725.186699999496341,-0.201312333330861
99,327,34657,319932.941800000146031,100725.186699999496341,-0.188845166660030
100,327,34657,319931.850700000301003,100725.268999999389052,-0.201312333330861
101,102,19975,319931.018600000068545,100725.314699999988079,-0.118963416665792
102,327,34657,319930.747299999929965,100725.360400000587106,-0.219356916655670
103,102,19975,319932.146300000138581,100725.433599999174476,-0.170800583320670
104,327,34657,319929.677400000393391,100725.442700000479817,-0.149475166661432
105,327,34657,319933.877600000239909,100725.470200000330806,-0.320078499993542
106,667,34696,319933.255800000391901,100725.482400000095367,-0.240682333329460
107,327,34657,319928.604500000365078,100725.515900000929832,-0.079265333333751
108,327,34657,319932.957100000232458,100725.537200000137091,-0.201312333330861
109,667,34696,319932.204199999570847,100725.555500000715256,-0.118963416665792
110,116,20564,319924.462299999780953,100725.588999999687076,0.499801750003826
111,327,34657,319927.565200000070035,100725.598200000822544,0.100524333334761
112,327,34657,319932.015200000256300,100725.610400000587106,-0.188845166660030
113,667,34696,319931.082600000314415,100725.646999999880791,-0.228543249992072
114,327,34657,319926.571499999612570,100725.674399999901652,0.411547333336785
115,327,34657,319931.082600000314415,100725.677400000393391,-0.118963416665792
116,116,20564,319925.501699999906123,100725.686599999666214,0.310825749998912
117,667,34696,319930.021900000050664,100725.729299999773502,-0.140288833325030
118,327,34657,319930.110199999995530,100725.750600000843406,-0.179986916657072
119,327,34657,319925.449799999594688,100725.753599999472499,0.271127666666871
120,116,20564,319926.519700000062585,100725.781099999323487,0.210432250009035
121,667,34696,319928.961099999956787,100725.811599999666214,-0.079265333333751
122,667,34696,319933.332000000402331,100725.811599999666214,-0.158333416664391
123,327,34657,319929.198900000192225,100725.826799999922514,-0.060892666660948
124,327,34657,319924.437900000251830,100725.838999999687076,0.478476333344588
125,116,20564,319927.537700000219047,100725.878599999472499,0.030314500007080
126,667,34696,319932.381000000052154,100725.887800000607967,-0.188845166660030
127,327,34657,319928.278400000184774,100725.890799999237061,0.021456250004121
128,667,34696,319927.909599999897182,100725.893899999558926,0.008989083333290
129,667,34696,319931.429999999701977,100725.960899999365211,-0.179986916657072
130,327,34657,319927.318300000391901,100725.963999999687076,0.030314500007080
131,667,34696,319926.867200000211596,100725.979199999943376,0.140222416666802
132,116,20564,319924.648199999704957,100725.982200000435114,0.429591916676145
133,116,20564,319928.516099999658763,100725.985300000756979,0.048687166665331
134,327,34657,319926.446499999612570,100726.030999999493361,0.249802250007633
135,667,34696,319930.475999999791384,100726.037100000306964,-0.158333416664391
136,667,34696,319925.824699999764562,100726.052300000563264,0.310825749998912
137,71,19957,319940.628899999894202,100726.052300000563264,-0.219356916655670
138,102,19975,319924.495799999684095,100726.079800000414252,0.591337000005296
139,116,20564,319929.537200000137091,100726.079800000414252,-0.070078999997349
140,116,20564,319925.824699999764562,100726.092000000178814,0.271127666666871
141,327,34657,319925.513899999670684,100726.095000000670552,0.298686666676076
142,667,34696,319929.537200000137091,100726.110300000756979,-0.109777083329391
143,667,34696,319924.764000000432134,100726.134600000455976,0.310825749998912
144,71,19957,319941.598199999891222,100726.155999999493361,-0.219356916655670
145,327,34657,319924.605499999597669,100726.162100000306964,0.411547333336785
146,667,34696,319928.683799999766052,100726.168199999257922,0.240944000004674
147,102,19975,319925.553500000387430,100726.186499999836087,0.271127666666871
148,116,20564,319930.515599999576807,100726.186499999836087,-0.030380916665308
149,116,20564,319926.983000000007451,100726.198699999600649,0.188778750001802
150,667,34696,319927.671799999661744,100726.250499999150634,0.008989083333290
151,116,20564,319931.481800000183284,100726.283999999985099,-0.021522666662349
152,102,19975,319926.522699999623001,100726.302300000563264,0.359710166667355
153,667,34696,319926.830599999986589,100726.308399999514222,0.411547333336785
154,116,20564,319928.153400000184774,100726.308399999514222,0.008989083333290
155,327,34657,319943.335500000044703,100726.314500000327826,-0.298753083334304
156,667,34696,319925.922299999743700,100726.372400000691414,0.521127166677616
157,116,20564,319932.463299999944866,100726.387599999085069,0.008989083333290
158,327,34657,319942.262600000016391,100726.396800000220537,-0.149475166661432
159,102,19975,319927.489000000059605,100726.418099999427795,0.390221916677547
160,116,20564,319929.229399999603629,100726.436400000005960,0.258988583344035
161,667,34696,319924.968299999833107,100726.448599999770522,0.469290000008186
162,102,19975,319941.073900000192225,100726.448599999770522,-0.100590749992989
163,102,19975,319924.709200000390410,100726.472999999299645,0.469290000008186
164,327,34657,319941.140999999828637,100726.479100000113249,-0.188845166660030
165,116,20564,319933.511800000444055,100726.485200000926852,-0.210498666667263
166,667,34696,319924.087399999611080,100726.512599999085069,0.670405083335936
167,102,19975,319928.470399999991059,100726.524800000712276,0.399080166665954
168,116,20564,319930.408999999985099,100726.546099999919534,0.070012583339121
169,327,34657,319944.332200000062585,100726.552200000733137,-0.259054999987711
170,667,34696,319944.100599999539554,100726.558299999684095,-0.329264833329944
171,327,34657,319940.010200000368059,100726.561400000005960,-0.271194083325099
172,102,19975,319942.201700000092387,100726.567500000819564,-0.201312333330861
173,102,19975,319925.846099999733269,100726.600999999791384,0.460103666671785
174,327,34657,319943.399600000120699,100726.625399999320507,-0.100590749992989
175,102,19975,319929.528099999763072,100726.640599999576807,0.100524333334761
176,667,34696,319943.009399999864399,100726.640599999576807,-0.280380416661501
177,327,34657,319938.909799999557436,100726.652799999341369,-0.259054999987711
178,116,20564,319931.597699999809265,100726.655899999663234,-0.179986916657072
179,102,19975,319943.298999999649823,100726.695499999448657,-0.158333416664391
180,327,34657,319942.427199999801815,100726.701600000262260,-0.118963416665792
181,667,34696,319941.927400000393391,100726.722899999469519,-0.170800583320670
182,102,19975,319926.925099999643862,100726.729000000283122,0.670405083335936
183,102,19975,319930.524799999780953,100726.747300000861287,0.070012583339121
184,116,20564,319932.734600000083447,100726.771700000390410,-0.118963416665792
185,327,34657,319941.427500000223517,100726.774700000882149,-0.170800583320670
