FID,Field1,Field2,Field3
85,320404.038600000028964,100963.610899999999674,1.630700000000000
93,320406.230199999990873,100907.277600000001257,1.271000000000000
97,320408.308900000003632,100920.411500000001979,1.411200000000000
116,320410.055400000012014,100892.165599999992992,0.969300000000000
118,320411.100900000019465,100898.572499999994761,1.069900000000000
131,320409.214199999987613,100931.210600000005797,1.850100000000000
136,320409.616500000003725,100946.417100000006030,1.481300000000000
140,320411.204499999992549,100955.765299999999115,1.481300000000000
145,320412.429799999983516,100888.922600000005332,0.749800000000000
155,320414.444499999983236,100918.201700000005076,1.310600000000000
175,320416.678699999989476,100898.234200000006240,1.271000000000000
178,320416.882900000025984,100906.668000000005122,1.289300000000000
189,320417.410199999983888,100938.272800000006100,1.749600000000000
198,320415.618000000016764,100964.317999999999302,1.679500000000000
214,320418.117399999988265,100930.482099999993807,1.140000000000000
238,320420.653300000005402,100917.692699999999604,1.039400000000000
248,320421.701799999980722,100949.873500000001513,1.460000000000000
254,320423.085599999991246,100966.991099999999278,1.420400000000000
267,320426.304300000017975,100922.764599999994971,3.160800000000000
270,320424.637099999992643,100932.307899999999790,0.920500000000000
278,320425.322900000028312,100955.445300000006682,1.481300000000000
333,320431.504200000024866,100941.872499999997672,0.829100000000000
365,320433.567700000014156,100948.447100000004866,1.109500000000000
368,320434.375400000018999,100958.493300000001909,1.481300000000000
426,320441.075000000011642,100966.701600000000326,2.398800000000000
